procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1073528 83112 1911008   0    0     0    96 3848 6815  5  3 92  0  0  0
 1  0      0 1073528 83112 1911024   0    0     0     0 3377 5885  3  2 95  0  0  0
 1  0      0 1073528 83116 1911020   0    0     0    56 3517 5631  4  2 94  0  0  0
 3  0      0 1073528 83116 1911028   0    0     0    48 3092 4850  2  2 97  0  0  0
 0  0      0 1073528 83116 1911028   0    0     0    24 4045 7398  4  3 93  0  0  0
 2  0      0 1073528 83116 1911028   0    0     0    56 3922 6456  4  3 94  0  0  0
 0  0      0 1073528 83120 1911024   0    0     0    64 3365 5952  3  2 96  0  0  0
 0  0      0 1073528 83120 1911032   0    0     0     0 3445 5622  3  2 95  0  0  0
 0  0      0 1073528 83120 1911032   0    0     0    28 3820 7515  4  4 92  0  0  0
 0  0      0 1073528 83120 1911032   0    0     0    32 3638 6453  3  2 95  0  0  0
 2  0      0 1073528 83120 1911032   0    0     0    28 3524 5892  2  3 95  0  0  0
 0  0      0 1073528 83120 1911032   0    0     0     0 3197 5045  2  2 96  0  0  0
 0  0      0 1073528 83124 1911028   0    0     0    88 3668 6164  3  2 95  0  0  0
 0  0      0 1073528 83124 1911036   0    0     0    28 3366 5404  3  2 96  0  0  0
 0  0      0 1073528 83124 1911036   0    0     0    24 3470 6077  3  2 95  0  0  0
 0  0      0 1073528 83128 1911036   0    0     0    76 4022 7267  5  2 93  0  0  0
 0  0      0 1073528 83128 1911040   0    0     0    52 3162 5217  3  2 95  0  0  0
 1  0      0 1073528 83128 1911040   0    0     0     4 3223 5206  2  2 96  0  0  0
 1  0      0 1073528 83132 1911036   0    0     0    60 3896 6666  5  4 91  0  0  0
 0  0      0 1073528 83132 1911052   0    0     0    36 3426 5226  3  2 96  0  0  0
 0  0      0 1073528 83132 1911052   0    0     0    24 3413 5522  3  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1073528 83132 1911052   0    0     0     0 3119 5153  2  1 97  0  0  0
 0  0      0 1073528 83136 1911052   0    0     0    52 3467 5879  3  2 95  0  0  0
 0  0      0 1073528 83136 1911056   0    0     0     0 3170 5187  2  2 96  0  0  0
 0  0      0 1072520 83136 1911056   0    0     0    68 3505 5473  4  2 94  0  0  0
