procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1013080 89436 1915400   0    0     0    24 3259 4884  3  3 95  0  0  0
 0  0      0 1010560 89436 1915400   0    0     0    16 3571 5279  3  2 95  0  0  0
 0  0      0 1010560 89436 1915400   0    0     0    28 3732 5742  3  3 94  0  0  0
 1  0      0 1010560 89444 1915400   0    0     0    60 3277 4808  3  2 96  0  0  0
 2  0      0 1010560 89444 1915404   0    0     0    28 3455 4928  3  2 96  0  0  0
 0  0      0 1010308 89452 1915408   0    0     0   108 4481 7642  5  2 93  0  0  0
 0  0      0 1010308 89460 1915412   0    0     0    96 3821 5818  3  3 95  0  0  0
 0  0      0 1010308 89460 1915412   0    0     0     0 3328 5279  2  2 96  0  0  0
 0  0      0 1010308 89460 1915412   0    0     0    44 3047 4476  2  1 97  0  0  0
 0  0      0 1010308 89460 1915412   0    0     0     0 3484 5295  2  2 96  0  0  0
 2  0      0 1010308 89460 1915412   0    0     0    28 3401 6149  3  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1009552 89460 1915412   0    0     0    16 3527 5684  3  2 95  0  0  0
 1  0      0 1009552 89472 1915400   0    0     0    48 3855 6785  5  3 92  0  0  0
 0  0      0 1009552 89472 1915416   0    0     0    52 3134 4958  2  2 96  0  0  0
 0  0      0 1009552 89472 1915416   0    0     0     4 3176 5740  3  1 96  0  0  0
 0  0      0 1009552 89472 1915416   0    0     0    48 4040 7598  5  3 92  0  0  0
 0  0      0 1008040 89476 1915412   0    0     0    60 3764 6413  3  3 94  0  0  0
 0  0      0 1008040 89476 1915424   0    0     0    24 3362 5346  3  2 96  0  0  0
 0  0      0 1008040 89476 1915424   0    0     0    12 3240 5108  3  1 96  0  0  0
 1  0      0 1008040 89476 1915424   0    0     0    24 3281 5360  2  1 97  0  0  0
 2  0      0 1008040 89476 1915424   0    0     0     0 3675 5885  3  3 94  0  0  0
 0  0      0 1008040 89476 1915424   0    0     0    40 3664 6049  4  2 94  0  0  0
 0  0      0 1008040 89484 1915416   0    0     0    32 3659 6039  3  2 95  0  0  0
 0  0      0 1008040 89488 1915428   0    0     0    52 3513 5278  3  2 95  0  0  0
 0  0      0 1008040 89488 1915428   0    0     0    32 3106 4221  2  2 96  0  0  0
 1  0      0 1008040 89488 1915428   0    0     0    52 4021 6965  4  4 93  0  0  0
 0  0      0 1008040 89492 1915428   0    0     0    56 3536 5755  3  2 95  0  0  0
 0  0      0 1008040 89492 1915432   0    0     0    48 3358 5220  3  2 95  1  0  0
